,id,trip_id,timestamp,timespent_s,speed_m_s,distance_m,avg_od_speed_m_s,gps_speed_m_s,spent_fuel%,first_location
36,334455,1,2024-01-01 16:46:00,300,6.22,1866,9.33,6.22,0.82,"(53.332025, -6.275705)"
37,334455,1,2024-01-01 16:51:00,300,6.22,1866,9.33,6.22,1.03,"(53.332025, -6.275705)"
38,334455,1,2024-01-01 16:55:00,240,7.78,1866,9.33,7.78,1.03,"(53.332025, -6.275705)"
39,334455,1,2024-01-01 16:59:00,240,7.78,1866,10.46,7.78,0.82,"(53.332025, -6.275705)"
40,334455,1,2024-01-01 17:04:00,300,6.22,1866,10.46,6.22,0.82,"(53.332025, -6.275705)"
41,334455,1,2024-01-01 17:07:00,180,10.37,1866,10.46,10.37,1.03,"(53.332025, -6.275705)"
42,334455,1,2024-01-01 17:12:00,300,6.22,1866,10.46,6.22,0.62,"(53.332025, -6.275705)"
43,334455,1,2024-01-01 17:13:00,60,31.11,1866,10.46,31.11,1.03,"(53.332025, -6.275705)"
44,334455,1,2024-01-01 17:17:00,240,7.78,1866,10.46,7.78,0.21,"(53.332025, -6.275705)"
45,334455,1,2024-01-01 17:18:00,60,31.11,1866,10.46,31.11,0.82,"(53.332025, -6.275705)"
46,334455,1,2024-01-01 17:23:00,300,6.22,1866,10.46,6.22,0.21,"(53.332025, -6.275705)"
47,334455,1,2024-01-01 17:25:00,120,15.55,1866,10.46,15.55,1.03,"(53.332025, -6.275705)"
48,334455,1,2024-01-01 17:30:00,300,6.22,1866,10.46,6.22,0.41,"(53.332025, -6.275705)"
49,334455,1,2024-01-01 17:35:00,300,6.22,1866,10.46,6.22,1.03,"(53.332025, -6.275705)"
50,334455,1,2024-01-01 17:36:00,60,31.11,1866,10.46,31.11,1.03,"(53.332025, -6.275705)"
51,334455,1,2024-01-01 17:37:00,60,31.11,1866,10.46,31.11,0.21,"(53.332025, -6.275705)"
52,334455,1,2024-01-01 17:39:00,120,15.56,1866,10.46,15.56,0.21,"(53.332025, -6.275705)"
53,334455,1,2024-01-01 17:41:00,120,15.56,1866,10.46,15.56,0.41,"(53.332025, -6.275705)"
54,334455,1,2024-01-01 17:43:00,120,15.56,1866,10.46,15.56,0.41,"(53.332025, -6.275705)"
55,334455,1,2024-01-01 17:46:00,180,10.37,1866,10.46,10.37,0.41,"(53.332025, -6.275705)"
56,334455,1,2024-01-01 17:50:00,240,7.78,1866,12.2,7.78,0.62,"(53.332025, -6.275705)"
57,334455,1,2024-01-01 17:53:00,180,10.37,1866,12.2,10.37,0.82,"(53.332025, -6.275705)"
58,334455,1,2024-01-01 17:55:00,120,15.56,1866,12.2,15.56,0.62,"(53.332025, -6.275705)"
59,334455,1,2024-01-01 18:00:00,300,6.22,1866,12.2,6.22,0.41,"(53.332025, -6.275705)"
60,334455,1,2024-01-01 18:04:00,240,7.78,1866,12.2,7.78,1.45,"(53.332025, -6.275705)"
61,334455,1,2024-01-01 18:05:00,60,31.12,1866,12.2,31.12,1.16,"(53.332025, -6.275705)"
62,334455,1,2024-01-01 18:08:00,180,10.37,1866,12.2,10.37,0.29,"(53.332025, -6.275705)"
63,334455,1,2024-01-01 18:11:00,180,10.37,1867,12.2,10.37,0.87,"(53.332025, -6.275705)"
64,334455,1,2024-01-01 18:12:00,60,31.12,1867,12.2,31.12,0.87,"(53.332025, -6.275705)"
65,334455,1,2024-01-01 18:13:00,60,31.12,1867,12.2,31.12,0.29,"(53.332025, -6.275705)"
66,334455,1,2024-01-01 18:16:00,180,10.37,1867,12.2,10.37,0.29,"(53.332025, -6.275705)"
67,334455,1,2024-01-01 18:19:00,180,10.37,1867,12.2,10.37,0.87,"(53.332025, -6.275705)"
68,334455,1,2024-01-01 18:20:00,60,31.12,1867,12.2,31.12,0.87,"(53.332025, -6.275705)"
69,334455,1,2024-01-01 18:22:00,120,15.56,1867,12.2,15.56,0.29,"(53.332025, -6.275705)"
70,334455,1,2024-01-01 18:24:00,120,15.56,1867,12.2,15.56,0.58,"(53.332025, -6.275705)"
71,334455,1,2024-01-01 18:27:00,180,10.37,1867,12.2,10.37,0.58,"(53.332025, -6.275705)"
72,334455,1,2024-01-01 18:30:00,180,10.37,1867,10.19,10.37,0.87,"(53.332025, -6.275705)"
73,334455,1,2024-01-01 18:31:00,60,31.12,1867,10.19,31.12,0.87,"(53.332025, -6.275705)"
74,334455,1,2024-01-01 18:35:00,240,7.78,1867,10.19,7.78,0.29,"(53.332025, -6.275705)"
75,334455,1,2024-01-01 18:36:00,60,31.12,1867,10.19,31.12,1.16,"(53.332025, -6.275705)"
76,334455,1,2024-01-01 18:40:00,240,7.78,1867,10.19,7.78,0.29,"(53.332025, -6.275705)"
77,334455,1,2024-01-01 18:45:00,300,6.22,1867,10.19,6.22,1.16,"(53.332025, -6.275705)"
78,334455,1,2024-01-01 18:50:00,300,6.22,1867,10.19,6.22,1.45,"(53.332025, -6.275705)"
79,334455,1,2024-01-01 18:55:00,300,6.22,1867,10.19,6.22,1.45,"(53.332025, -6.275705)"
80,334455,1,2024-01-01 18:56:00,60,31.12,1867,10.19,31.12,1.45,"(53.332025, -6.275705)"
81,334455,1,2024-01-01 19:00:00,240,7.78,1867,10.19,7.78,0.29,"(53.332025, -6.275705)"
82,334455,1,2024-01-01 19:02:00,120,15.56,1867,10.19,15.56,1.16,"(53.332025, -6.275705)"
83,334455,1,2024-01-01 19:03:00,60,31.12,1867,10.19,31.12,0.58,"(53.332025, -6.275705)"
84,334455,1,2024-01-01 19:04:00,60,31.12,1867,10.64,31.12,0.29,"(53.332025, -6.275705)"
85,334455,1,2024-01-01 19:05:00,60,31.13,1867,10.64,31.13,0.29,"(53.332025, -6.275705)"
86,334455,1,2024-01-01 19:08:00,180,10.38,1867,10.64,10.38,0.29,"(53.332025, -6.275705)"
87,334455,1,2024-01-01 19:12:00,240,7.78,1867,10.64,7.78,0.87,"(53.332025, -6.275705)"
88,334455,1,2024-01-01 19:16:00,240,7.78,1867,10.64,7.78,1.9,"(53.332025, -6.275705)"
89,334455,1,2024-01-01 19:19:00,180,10.38,1867,10.64,10.38,1.9,"(53.332025, -6.275705)"
90,334455,1,2024-01-01 19:20:00,60,31.13,1867,10.64,31.13,1.43,"(53.332025, -6.275705)"
91,334455,1,2024-01-01 19:23:00,180,10.38,1867,10.64,10.38,0.48,"(53.332025, -6.275705)"
92,334455,1,2024-01-01 19:27:00,240,7.78,1867,10.64,7.78,1.43,"(53.332025, -6.275705)"
93,334455,1,2024-01-01 19:30:00,180,10.38,1867,10.64,10.38,1.9,"(53.332025, -6.275705)"
94,334455,1,2024-01-01 19:34:00,240,7.78,1867,10.64,7.78,1.43,"(53.332025, -6.275705)"
95,334455,1,2024-01-01 19:37:00,180,10.38,1867,10.64,10.38,1.9,"(53.332025, -6.275705)"
96,334455,1,2024-01-01 19:40:00,180,10.38,1867,10.64,10.38,1.43,"(53.332025, -6.275705)"
97,334455,1,2024-01-01 19:42:00,120,15.57,1867,10.64,15.57,1.43,"(53.332025, -6.275705)"
98,334455,1,2024-01-01 19:45:00,180,10.38,1867,10.64,10.38,0.95,"(53.332025, -6.275705)"
99,334455,1,2024-01-01 19:50:00,300,6.23,1867,10.64,6.23,1.43,"(53.332025, -6.275705)"
100,334455,1,2024-01-01 19:53:00,180,10.38,1867,,10.38,2.38,"(53.332025, -6.275705)"
101,334455,2,2024-01-02 08:00:00,0,0.0,0,0.0,0.0,1.43,"(53.275578, -9.074217)"
102,334455,2,2024-01-02 08:01:00,60,31.13,1867,21.43,31.13,0.0,"(53.275578, -9.074217)"
103,334455,2,2024-01-02 08:03:00,120,15.57,1867,21.43,15.57,0.48,"(53.275578, -9.074217)"
104,334455,2,2024-01-02 08:04:00,60,31.13,1867,21.43,31.13,0.95,"(53.275578, -9.074217)"
105,334455,2,2024-01-02 08:05:00,60,31.13,1867,21.43,31.13,0.48,"(53.275578, -9.074217)"
106,334455,2,2024-01-02 08:07:00,120,15.57,1867,21.43,15.57,0.48,"(53.275578, -9.074217)"
107,334455,2,2024-01-02 08:09:00,120,15.56,1867,21.43,15.56,0.95,"(53.275578, -9.074217)"
108,334455,2,2024-01-02 08:11:00,120,15.56,1867,21.43,15.56,0.95,"(53.275578, -9.074217)"
109,334455,2,2024-01-02 08:12:00,60,31.13,1867,21.43,31.13,0.95,"(53.275578, -9.074217)"
110,334455,2,2024-01-02 08:13:00,60,31.13,1867,21.43,31.13,0.48,"(53.275578, -9.074217)"
111,334455,2,2024-01-02 08:14:00,60,31.13,1867,21.43,31.13,0.48,"(53.275578, -9.074217)"
112,334455,2,2024-01-02 08:15:00,60,31.13,1867,21.43,31.13,0.48,"(53.275578, -9.074217)"
113,334455,2,2024-01-02 08:17:00,120,15.56,1867,21.43,15.56,0.48,"(53.275578, -9.074217)"
114,334455,2,2024-01-02 08:19:00,120,15.56,1867,21.43,15.56,0.95,"(53.275578, -9.074217)"
115,334455,2,2024-01-02 08:21:00,120,15.56,1867,21.43,15.56,0.95,"(53.275578, -9.074217)"
116,334455,2,2024-01-02 08:22:00,60,31.13,1867,21.79,31.13,0.95,"(53.275578, -9.074217)"
117,334455,2,2024-01-02 08:23:00,60,31.13,1867,21.79,31.13,0.48,"(53.275578, -9.074217)"
118,334455,2,2024-01-02 08:24:00,60,31.12,1867,21.79,31.12,0.48,"(53.275578, -9.074217)"
119,334455,2,2024-01-02 08:25:00,60,31.12,1867,21.79,31.12,0.48,"(53.275578, -9.074217)"
120,334455,2,2024-01-02 08:26:00,60,31.12,1867,21.79,31.12,0.48,"(53.275578, -9.074217)"
121,334455,2,2024-01-02 08:27:00,60,31.12,1867,21.79,31.12,0.48,"(53.275578, -9.074217)"
122,334455,2,2024-01-02 08:28:00,60,31.12,1867,21.79,31.12,0.48,"(53.275578, -9.074217)"
123,334455,2,2024-01-02 08:29:00,60,31.12,1867,21.79,31.12,0.48,"(53.275578, -9.074217)"
124,334455,2,2024-01-02 08:31:00,120,15.56,1867,21.79,15.56,0.48,"(53.275578, -9.074217)"
125,334455,2,2024-01-02 08:32:00,60,31.12,1867,21.79,31.12,0.95,"(53.275578, -9.074217)"
126,334455,2,2024-01-02 08:34:00,120,15.56,1867,21.79,15.56,0.48,"(53.275578, -9.074217)"
127,334455,2,2024-01-02 08:36:00,120,15.56,1867,21.79,15.56,0.95,"(53.275578, -9.074217)"
128,334455,2,2024-01-02 08:37:00,60,31.12,1867,21.79,31.12,0.95,"(53.275578, -9.074217)"
129,334455,2,2024-01-02 08:38:00,60,31.12,1867,21.79,31.12,0.48,"(53.275578, -9.074217)"
130,334455,2,2024-01-02 08:39:00,60,31.12,1867,21.79,31.12,0.48,"(53.275578, -9.074217)"
131,334455,2,2024-01-02 08:41:00,120,15.56,1867,21.79,15.56,0.48,"(53.275578, -9.074217)"
132,334455,2,2024-01-02 08:43:00,120,15.56,1867,21.79,15.56,0.95,"(53.275578, -9.074217)"
133,334455,2,2024-01-02 08:45:00,120,15.56,1867,21.79,15.56,0.95,"(53.275578, -9.074217)"
134,334455,2,2024-01-02 08:47:00,120,15.56,1867,21.79,15.56,0.95,"(53.275578, -9.074217)"
135,334455,2,2024-01-02 08:49:00,120,15.56,1867,,15.56,0.95,"(53.275578, -9.074217)"
136,334455,2,2024-01-02 08:51:00,120,15.56,1867,20.0,15.56,0.95,"(53.275578, -9.074217)"
137,334455,2,2024-01-02 08:52:00,60,31.12,1867,20.0,31.12,0.95,"(53.275578, -9.074217)"
138,334455,2,2024-01-02 08:53:00,60,31.12,1867,20.0,31.12,0.48,"(53.275578, -9.074217)"
139,334455,2,2024-01-02 08:55:00,120,15.56,1867,20.0,15.56,0.48,"(53.275578, -9.074217)"
140,334455,2,2024-01-02 08:57:00,120,15.56,1866,20.0,15.56,0.95,"(53.275578, -9.074217)"
141,334455,2,2024-01-02 08:58:00,60,31.12,1866,20.0,31.12,0.95,"(53.275578, -9.074217)"
142,334455,2,2024-01-02 09:00:00,120,15.56,1866,20.0,15.56,0.48,"(53.275578, -9.074217)"
143,334455,2,2024-01-02 09:02:00,120,15.56,1866,20.0,15.56,0.95,"(53.275578, -9.074217)"
144,334455,2,2024-01-02 09:03:00,60,31.11,1866,20.0,31.11,0.95,"(53.275578, -9.074217)"
145,334455,2,2024-01-02 09:05:00,120,15.56,1866,20.0,15.56,0.48,"(53.275578, -9.074217)"
146,334455,2,2024-01-02 09:06:00,60,31.11,1866,20.0,31.11,0.95,"(53.275578, -9.074217)"
147,334455,2,2024-01-02 09:07:00,60,31.11,1866,20.0,31.11,0.48,"(53.275578, -9.074217)"
148,334455,2,2024-01-02 09:09:00,120,15.56,1866,20.0,15.56,0.48,"(53.275578, -9.074217)"
149,334455,2,2024-01-02 09:11:00,120,15.56,1866,20.0,15.56,0.95,"(53.275578, -9.074217)"
150,334455,2,2024-01-02 09:12:00,60,31.11,1866,20.0,31.11,0.95,"(53.275578, -9.074217)"
151,334455,2,2024-01-02 09:14:00,120,15.56,1866,20.0,15.56,0.48,"(53.275578, -9.074217)"
152,334455,2,2024-01-02 09:16:00,120,15.56,1866,20.0,15.56,0.95,"(53.275578, -9.074217)"
153,334455,2,2024-01-02 09:18:00,120,15.56,1866,20.0,15.56,0.95,"(53.275578, -9.074217)"
154,334455,2,2024-01-02 09:19:00,60,31.11,1866,20.0,31.11,0.95,"(53.275578, -9.074217)"
155,334455,2,2024-01-02 09:21:00,120,15.55,1866,22.22,15.55,0.48,"(53.275578, -9.074217)"
156,334455,2,2024-01-02 09:22:00,60,31.11,1866,22.22,31.11,0.95,"(53.275578, -9.074217)"
157,334455,2,2024-01-02 09:23:00,60,31.11,1866,22.22,31.11,0.48,"(53.275578, -9.074217)"
158,334455,2,2024-01-02 09:24:00,60,31.11,1866,22.22,31.11,0.48,"(53.275578, -9.074217)"
159,334455,2,2024-01-02 09:25:00,60,31.11,1866,22.22,31.11,0.48,"(53.275578, -9.074217)"
160,334455,2,2024-01-02 09:26:00,60,31.11,1866,22.22,31.11,0.48,"(53.275578, -9.074217)"
161,334455,2,2024-01-02 09:28:00,120,15.55,1866,22.22,15.55,0.48,"(53.275578, -9.074217)"
162,334455,2,2024-01-02 09:29:00,60,31.11,1866,22.22,31.11,0.95,"(53.275578, -9.074217)"
163,334455,2,2024-01-02 09:30:00,60,31.11,1866,22.22,31.11,0.48,"(53.275578, -9.074217)"
164,334455,2,2024-01-02 09:31:00,60,31.11,1866,22.22,31.11,0.48,"(53.275578, -9.074217)"
165,334455,2,2024-01-02 09:32:00,60,31.11,1866,22.22,31.11,0.48,"(53.275578, -9.074217)"
166,334455,2,2024-01-02 09:33:00,60,31.11,1866,22.22,31.11,0.48,"(53.275578, -9.074217)"
167,334455,2,2024-01-02 09:35:00,120,15.55,1866,22.22,15.55,0.48,"(53.275578, -9.074217)"
168,334455,2,2024-01-02 09:36:00,60,31.1,1866,22.22,31.1,0.95,"(53.275578, -9.074217)"
169,334455,2,2024-01-02 09:38:00,120,15.55,1866,22.22,15.55,0.48,"(53.275578, -9.074217)"
170,334455,2,2024-01-02 09:39:00,60,31.1,1866,22.22,31.1,0.95,"(53.275578, -9.074217)"
171,334455,2,2024-01-02 09:41:00,120,15.55,1866,22.22,15.55,0.48,"(53.275578, -9.074217)"
172,334455,2,2024-01-02 09:43:00,120,15.55,1866,22.22,15.55,0.95,"(53.275578, -9.074217)"
173,334455,2,2024-01-02 09:45:00,120,15.55,1866,22.22,15.55,0.95,"(53.275578, -9.074217)"
174,334455,2,2024-01-02 09:46:00,60,31.1,1866,22.22,31.1,0.95,"(53.275578, -9.074217)"
175,334455,2,2024-01-02 09:48:00,120,15.55,1866,18.52,15.55,0.48,"(53.275578, -9.074217)"
176,334455,2,2024-01-02 09:50:00,120,15.55,1866,18.52,15.55,0.95,"(53.275578, -9.074217)"
177,334455,2,2024-01-02 09:51:00,60,31.1,1866,18.52,31.1,0.95,"(53.275578, -9.074217)"
178,334455,2,2024-01-02 09:53:00,120,15.55,1866,18.52,15.55,0.48,"(53.275578, -9.074217)"
179,334455,2,2024-01-02 09:54:00,60,31.1,1866,18.52,31.1,0.95,"(53.275578, -9.074217)"
180,334455,2,2024-01-02 09:55:00,60,31.1,1865,18.52,31.1,0.48,"(53.275578, -9.074217)"
181,334455,2,2024-01-02 09:56:00,60,31.1,1866,18.52,31.1,0.48,"(53.275578, -9.074217)"
182,334455,2,2024-01-02 09:58:00,120,15.55,1865,18.52,15.55,0.48,"(53.275578, -9.074217)"
183,334455,2,2024-01-02 09:59:00,60,31.1,1865,18.52,31.1,0.95,"(53.275578, -9.074217)"
184,334455,2,2024-01-02 10:00:00,60,31.1,1865,18.52,31.1,0.48,"(53.275578, -9.074217)"
185,334455,2,2024-01-02 10:02:00,120,15.55,1865,18.52,15.55,0.48,"(53.275578, -9.074217)"
186,334455,2,2024-01-02 10:04:00,120,15.55,1865,18.52,15.55,0.95,"(53.275578, -9.074217)"
187,334455,2,2024-01-02 10:06:00,120,15.55,1865,18.52,15.55,0.95,"(53.275578, -9.074217)"
188,334455,2,2024-01-02 10:08:00,120,15.55,1865,18.52,15.55,0.95,"(53.275578, -9.074217)"
189,334455,2,2024-01-02 10:10:00,120,15.55,1865,18.52,15.55,0.95,"(53.275578, -9.074217)"
190,334455,2,2024-01-02 10:11:00,60,31.1,1865,18.52,31.1,0.95,"(53.275578, -9.074217)"
191,334455,2,2024-01-02 10:12:00,60,31.1,1865,18.52,31.1,0.48,"(53.275578, -9.074217)"
192,334455,2,2024-01-02 10:14:00,120,15.55,1865,18.52,15.55,0.48,"(53.275578, -9.074217)"
193,334455,2,2024-01-02 10:15:00,60,31.09,1865,18.52,31.09,0.95,"(53.275578, -9.074217)"
194,334455,2,2024-01-02 10:17:00,120,15.55,1865,18.52,15.55,0.48,"(53.275578, -9.074217)"
195,334455,2,2024-01-02 10:19:00,120,15.55,1865,18.52,15.55,0.95,"(53.275578, -9.074217)"
196,334455,2,2024-01-02 10:20:00,60,31.09,1865,18.52,31.09,0.95,"(53.275578, -9.074217)"
197,334455,2,2024-01-02 10:22:00,120,15.55,1865,18.52,15.55,0.48,"(53.275578, -9.074217)"
198,334455,2,2024-01-02 10:24:00,120,15.55,1865,55.56,15.55,0.95,"(53.275578, -9.074217)"
199,334455,2,2024-01-02 10:26:00,120,15.55,1865,55.56,15.55,0.95,"(53.275578, -9.074217)"
200,334455,2,2024-01-02 10:27:00,60,31.09,1865,55.56,31.09,0.95,"(53.275578, -9.074217)"
201,334455,2,2024-01-02 10:28:00,60,31.09,1865,55.56,31.09,0.48,"(53.275578, -9.074217)"
202,334456,1,2024-01-04 10:00:00,0,0.0,0,0.0,0.0,0.48,"(54.098194, -8.4042)"
203,334456,1,2024-01-04 10:02:08,128,11.56,1480,,11.57,0.0,"(54.098194, -8.4042)"
204,334456,1,2024-01-04 10:02:37,29,51.03,1479,51.03,51.06,1.0,"(54.098194, -8.4042)"
205,334456,1,2024-01-04 10:03:51,74,20.0,1480,20.0,20.01,1.0,"(54.098194, -8.4042)"
206,334456,1,2024-01-04 10:04:34,43,34.42,1480,34.42,34.44,1.0,"(54.098194, -8.4042)"
207,334456,1,2024-01-04 10:05:52,78,18.97,1480,18.97,18.99,1.0,"(54.098194, -8.4042)"
208,334456,1,2024-01-04 10:08:39,167,8.86,1480,8.86,8.87,1.0,"(54.098194, -8.4042)"
209,334456,1,2024-01-04 10:09:58,79,18.73,1480,18.73,18.75,1.0,"(54.098194, -8.4042)"
210,334456,1,2024-01-04 10:12:36,158,9.37,1480,9.37,9.37,1.0,"(54.098194, -8.4042)"
211,334456,1,2024-01-04 10:14:33,117,12.65,1480,12.65,12.66,1.0,"(54.098194, -8.4042)"
212,334456,1,2024-01-04 10:15:26,53,27.92,1479,27.92,27.95,1.0,"(54.098194, -8.4042)"
213,334456,1,2024-01-04 10:17:33,127,11.65,1480,11.65,11.66,1.0,"(54.098194, -8.4042)"
214,334456,1,2024-01-04 10:19:04,91,16.26,1480,16.26,16.28,1.0,"(54.098194, -8.4042)"
215,334456,1,2024-01-04 10:20:37,93,15.91,1480,15.91,15.93,1.0,"(54.098194, -8.4042)"
216,334456,1,2024-01-04 10:21:45,68,21.76,1480,21.76,21.79,1.0,"(54.098194, -8.4042)"
217,334456,1,2024-01-04 10:22:03,18,0.0,1480,0.0,82.3,1.0,"(54.098194, -8.4042)"
218,334456,1,2024-01-04 10:24:22,139,10.65,1480,10.65,10.66,1.0,"(54.098194, -8.4042)"
219,334456,1,2024-01-04 10:25:40,78,18.97,1480,18.97,18.99,1.0,"(54.098194, -8.4042)"
220,334456,1,2024-01-04 10:26:26,46,32.17,1480,32.17,32.21,1.0,"(54.098194, -8.4042)"
221,334456,1,2024-01-04 10:29:02,156,9.49,1480,9.49,9.5,1.0,"(54.098194, -8.4042)"
222,334456,1,2024-01-04 10:30:20,78,18.97,1480,18.97,19.0,1.0,"(54.098194, -8.4042)"
223,334456,1,2024-01-04 10:31:07,47,31.49,1479,31.49,31.53,1.0,"(54.098194, -8.4042)"
224,334456,1,2024-01-04 10:32:17,70,21.14,1479,21.14,21.17,1.0,"(54.098194, -8.4042)"
225,334456,1,2024-01-04 10:32:56,39,37.95,1479,37.95,38.0,1.0,"(54.098194, -8.4042)"
226,334456,1,2024-01-04 10:34:40,104,14.23,1479,14.23,14.25,1.0,"(54.098194, -8.4042)"
227,334456,1,2024-01-04 10:37:00,140,10.57,1479,10.57,10.59,1.0,"(54.098194, -8.4042)"
228,334456,1,2024-01-04 10:38:16,76,19.47,1479,19.47,19.5,1.0,"(54.098194, -8.4042)"
229,334456,1,2024-01-04 10:41:03,167,8.86,1479,8.86,8.87,1.0,"(54.098194, -8.4042)"
230,334456,1,2024-01-04 10:43:51,168,8.81,1479,8.81,8.82,1.0,"(54.098194, -8.4042)"
231,334456,1,2024-01-04 10:45:04,73,20.27,1479,20.27,20.3,1.0,"(54.098194, -8.4042)"
232,334456,1,2024-01-04 10:47:00,116,12.76,1479,12.76,12.78,1.0,"(54.098194, -8.4042)"
233,334456,1,2024-01-04 10:47:40,40,37.0,1479,37.0,37.06,1.0,"(54.098194, -8.4042)"
234,334456,1,2024-01-04 10:49:13,93,15.91,1479,15.91,15.94,1.0,"(54.098194, -8.4042)"
235,334456,1,2024-01-04 10:50:47,94,15.74,1479,15.74,15.77,1.0,"(54.098194, -8.4042)"
236,334456,1,2024-01-04 10:51:41,54,27.41,1479,27.41,27.45,1.0,"(54.098194, -8.4042)"
237,334456,1,2024-01-04 10:53:40,119,12.44,1479,12.44,12.46,1.0,"(54.098194, -8.4042)"
238,334456,1,2024-01-04 10:54:18,38,38.95,1479,38.95,39.02,1.0,"(54.098194, -8.4042)"
239,334456,1,2024-01-04 10:55:47,89,16.63,1479,16.63,16.66,1.0,"(54.098194, -8.4042)"
240,334456,1,2024-01-04 10:55:51,4,0.0,1479,0.0,370.68,1.0,"(54.098194, -8.4042)"
241,334456,1,2024-01-04 10:57:17,86,17.21,1479,17.21,17.24,1.0,"(54.098194, -8.4042)"
242,334456,1,2024-01-04 11:00:11,174,8.51,1479,8.51,8.52,1.0,"(54.098194, -8.4042)"
243,334456,1,2024-01-04 11:02:25,134,11.04,1479,11.04,11.07,1.0,"(54.098194, -8.4042)"
244,334456,1,2024-01-04 11:02:30,5,0.0,1479,0.0,296.6,1.0,"(54.098194, -8.4042)"
245,334456,1,2024-01-04 11:05:27,177,8.36,1479,8.36,8.38,1.0,"(54.098194, -8.4042)"
246,334456,1,2024-01-04 11:06:52,85,17.41,1480,17.41,17.45,1.0,"(54.098194, -8.4042)"
247,334456,1,2024-01-04 11:07:38,46,32.17,1480,32.17,32.24,1.0,"(54.098194, -8.4042)"
